G,Date,Type,Opponent,,Tm,Opp
1,Mon Nov 6 2023,REG,Houston Christian,W,110,63
2,Fri Nov 10 2023,REG,San Diego State (17),W,74,65
3,Wed Nov 15 2023,REG,Southeastern Louisiana,W,105,48
4,Sat Nov 18 2023,REG,Morgan State,W,93,50
5,Fri Nov 24 2023,REG,Arizona State,W,77,49
6,Fri Nov 24 2023,REG,NC State,W,95,86
7,Fri Dec 1 2023,REG,Fresno State,W,85,56
8,Tue Dec 5 2023,REG,Evansville,W,96,55
9,Sat Dec 9 2023,REG,Utah,L,69,73
10,Wed Dec 13 2023,REG,Denver,W,90,74
11,Sat Dec 16 2023,REG,Georgia State,W,86,54
12,Fri Dec 22 2023,REG,Bellarmine,W,101,59
13,Sat Dec 30 2023,REG,Wyoming,W,94,68
14,Sat Jan 6 2024,REG,Cincinnati,L,60,71
15,Tue Jan 9 2024,REG,Baylor (14),L,72,81
16,Sat Jan 13 2024,REG,UCF,W,63,58
17,Tue Jan 16 2024,REG,Iowa State (24),W,87,72
18,Sat Jan 20 2024,REG,Texas Tech (25),L,78,85
19,Tue Jan 23 2024,REG,Houston (4),L,68,75
20,Sat Jan 27 2024,REG,Texas,W,84,72
21,Sat Feb 3 2024,REG,West Virginia,W,86,73
22,Tue Feb 6 2024,REG,Oklahoma,L,66,82
23,Sat Feb 10 2024,REG,Kansas State,W,72,66
24,Tue Feb 13 2024,REG,UCF,W,90,88
25,Sat Feb 17 2024,REG,Oklahoma State,L,83,93
26,Tue Feb 20 2024,REG,Baylor (11),W,78,71
27,Sat Feb 24 2024,REG,Kansas State,L,74,84
28,Tue Feb 27 2024,REG,Kansas (7),W,76,68
29,Sat Mar 2 2024,REG,TCU,W,87,75
30,Wed Mar 6 2024,REG,Iowa State (6),L,63,68
31,Sat Mar 9 2024,REG,Oklahoma State,W,85,71
32,Wed Mar 13 2024,CTOURN,UCF,W,87,73
33,Thu Mar 14 2024,CTOURN,Texas Tech (25),L,67,81